1	Y	Y	1
2	Y	Y	1
3	N	N	1
4	Y	Y	1
5	N	N	1
6	Y	Y	1
7	Y	N	0
8	Y	Y	1
9	N	N	1
10	Y	Y	1
11	Y	Y	1
12	Y	Y	1
13	Y	Y	1
14	Y	Y	1
15	Y	Y	1
16	Y	Y	1
17	Y	Y	1
18	Y	Y	1
19	Y	Y	1
20	Y	Y	1
21	N	N	1
22	Y	N	0
23	Y	Y	1
24	Y	N	0
25	Y	Y	1
26	N	Y	0
27	N	N	1
28	Y	Y	1
29	Y	Y	1
30	Y	Y	1
31	N	N	1
32	Y	Y	1
33	Y	Y	1
34	Y	Y	1
35	Y	Y	1
36	Y	Y	1
37	Y	Y	1
38	Y	Y	1
39	Y	N	0
40	Y	Y	1
41	Y	Y	1
42	Y	N	0
43	Y	N	0
44	Y	Y	1
45	Y	Y	1
46	N	N	1
47	Y	N	0
48	Y	N	0
49	Y	Y	1
50	Y	Y	1
51	Y	Y	1
52	Y	Y	1
53	N	Y	0
54	Y	Y	1
55	N	Y	0
56	Y	Y	1
57	Y	Y	1
58	Y	Y	1
59	Y	Y	1
60	N	N	1
61	N	Y	0
62	Y	Y	1
63	Y	Y	1
64	Y	Y	1
65	Y	N	0
66	Y	Y	1
67	Y	Y	1
68	N	N	1
69	Y	Y	1
70	Y	Y	1
71	Y	N	0
72	Y	Y	1
73	N	N	1
74	Y	Y	1
75	Y	Y	1
76	N	N	1
77	N	N	1
78	Y	Y	1
79	Y	Y	1
80	Y	Y	1
81	Y	Y	1
82	Y	Y	1
83	Y	Y	1
84	Y	Y	1
85	Y	Y	1
86	N	N	1
87	Y	Y	1
88	N	N	1
89	Y	N	0
90	N	N	1
91	Y	Y	1
92	N	N	1
93	Y	Y	1
94	Y	N	0
95	Y	N	0
96	Y	Y	1
97	Y	Y	1
98	Y	Y	1
99	Y	Y	1
100	Y	Y	1
101	Y	N	0
102	Y	Y	1
103	N	N	1
104	Y	N	0
105	Y	Y	1
106	Y	Y	1
107	N	N	1
108	Y	Y	1
109	Y	N	0
110	Y	Y	1
111	N	Y	0
112	Y	Y	1
113	Y	N	0
114	N	N	1
115	Y	Y	1
116	Y	Y	1
117	Y	Y	1
118	Y	Y	1
119	Y	Y	1
120	Y	Y	1
121	Y	Y	1
122	Y	Y	1
123	Y	Y	1
124	Y	Y	1
125	Y	Y	1
126	Y	Y	1
127	Y	Y	1
128	N	N	1
			0.828125
